# schema	canonical-profile-runtime-evidence-v1
# proofContract	PC-2026-07-22.3
# executedAt	2026-08-22T01:36:00+07:00
# gitCommit	ebc1a4daaddc423528ed1884db8abc0e0281c6a5
# gitDirtyAtCapture	false
# neo4jKernel	2026.06.0
# cypherComponent	5
# edition	enterprise
# database	demo
# javaDriverDependency	5.21.0
# encodingProfile	canonical-v1
# sourceHashMode	utf8-lf-v1
# rendererSha256	5A43317FF6C18E847570EA808AAED68AD4E1E09FBA466B95FDE2504BF44E18DE
# binderSha256	D2E8402E181CDA11EF43D4D262137B7777698BBF3CFD83495D279ABB6EDB19FB
# admissionSha256	E7E7FE1C8E792D65B180321CAF51357B4916D90738CBE000E62BC68804BAD447
# irBuilderSha256	A518F70F0EB3D7E04617A0C5A5497195B63055EFEA341CF840828B7327308EFA
# optimizerSha256	439E6185A68F78E47EF982A23481E94E0ADE657972FAF9AEBA7430E0E72D4CC3
# adapterCertificateSha256	9B6A8C43E42653673AA8E98A982362009C2D3780BFE085C4DB87FA1A70447B98
# adapterSnapshotReaderSha256	3CE1908DD2013F2E3A6F45F416043821F22C18DD63B5F2FAE615C213A814B936
# adapterRuntimeTestSha256	2A9251098E4E0290702E4E4F6E75862976FABC25340DFFBBFA7BF74F6688AF1C
# discriminatorRuntimeTestSha256	0A44C7E44427A6E0AB3915A0422CF8DAF7C8E7C00140664FAB0E741612008424
# familiesRuntimeTestSha256	F730A91F5E708DC71AEC93EF272FD893254FBC7496BA2C493C31A11458DBDB37
id	status	observed	evidenceTest
ADAPTER_ADEQUACY	PASS	observations=6;plans=2;labelMutation=KILLED	AdapterAdequacyCertificateRealNeo4jTest#certificateAndQueriesObserveOneNeo4jSnapshot
VOID_CONTEXTS	PASS	cases=13	OclValSemanticDiscriminatorRealNeo4jTest#nullAndDuplicateCollectFollowTheCanonicalProfile
DUPLICATE_COLLECT	PASS	cases=1	OclValSemanticDiscriminatorRealNeo4jTest#nullAndDuplicateCollectFollowTheCanonicalProfile
TO_ONE_COLLECTION_VIEW	PASS	cases=3	OclValSemanticDiscriminatorRealNeo4jTest#nullAndDuplicateCollectFollowTheCanonicalProfile
PERSON_CASE	PASS	equivalent=10;missing=0;spurious=0;allPass=3;mixed=7	FamiliesToPersonsCaseStudyRealNeo4jTest#personCaseAgreesExactlyWithNativeUse
FAMILY_CASE	PASS	equivalent=10;missing=0;spurious=0;allPass=7;mixed=3	FamiliesToPersonsCaseStudyRealNeo4jTest#familyCaseAgreesExactlyWithNativeUse
